"","DRIVE","DATE","method","AHYM","AHYF","LM","LF","Total"
"1","2023 #1",2023-07-30,"helicopter",0,0,2,1,3
"2","2023 #2",2023-07-30,"helicopter",3,1,13,12,29
"3","2023 #3",2023-07-30,"helicopter",5,6,13,3,27
"4","2023 #4",2023-07-30,"helicopter",5,4,5,5,19
"5","2023 #5",2023-07-30,"helicopter",1,2,13,4,20
"6","2023 #6",2023-07-30,"helicopter",4,3,4,5,16
"11","Kig 1 2023",2023-08-01,"helicopter",1,0,5,6,12
"12","kig 2 2023",2023-08-01,"helicopter",6,4,8,8,26
"13","KIG 3 2023",2023-08-01,"helicopter",6,9,13,12,40
"14","MCGO MANO 1",2023-08-02,"helicopter",2,1,6,2,11
"15","MCGO MANO 2",2023-08-02,"helicopter",0,1,8,7,16
"16","MCGO MANO 3",2023-08-02,"helicopter",2,2,7,14,25
"17","MCGO MANO 4",2023-08-02,"helicopter",0,0,4,5,9
"18","MCGO MANO 5",2023-08-02,"helicopter",0,1,3,2,6
"19","MCGO MANO 6",2023-08-02,"helicopter",1,1,4,7,13
"20","MCGO MANO 7",2023-08-02,"helicopter",2,1,5,8,16
"21","NASKONAT 1",2023-08-01,"helicopter",2,3,10,7,22
"22","NASKONAT 2",2023-08-01,"helicopter",4,7,12,5,28
"23","NASKONAT 3",2023-08-01,"helicopter",0,0,4,1,5
