"","DATE","RECAP","band number","AGE","SEX","DRIVE"
"1",2023-07-17,"N","2227-21862","AHY","F","Bend Colony"
"2",2023-07-17,"N","2227-21867","AHY","F","Bend Colony"
"3",2023-07-17,"N","2227-21868","AHY","F","Bend Colony"
"4",2023-07-17,"N","2227-21869","AHY","M","Bend Colony"
"5",2023-07-17,"N","2227-21872","AHY","F","Bend Colony"
"6",2023-07-17,"N","2227-21876","AHY","M","Bend Colony"
"7",2023-07-17,"N","2227-21877","AHY","F","Bend Colony"
"8",2023-07-17,"N","2227-21879","AHY","M","Bend Colony"
"9",2023-07-17,"N","2227-21880","AHY","F","Bend Colony"
"10",2023-07-17,"N","2227-21881","AHY","M","Bend Colony"
"11",2023-07-17,"N","2227-21882","AHY","F","Bend Colony"
"12",2023-07-17,"N","2227-21883","AHY","F","Bend Colony"
"13",2023-07-17,"N","2227-21885","AHY","F","Bend Colony"
"14",2023-07-17,"N","2227-21886","AHY","F","Bend Colony"
"15",2023-07-17,"N","2227-21887","AHY","F","Bend Colony"
"16",2023-07-18,"N","2287-13504","AHY","F","Tut 2"
"17",2023-07-18,"N","2287-13506","AHY","M","Tut 2"
"18",2023-07-18,"N","2287-13508","AHY","M","Tut 2"
"19",2023-07-18,"N","2287-13511","AHY","F","Tut 2"
"20",2023-07-18,"N","2287-13512","AHY","M","Tut 2"
"21",2023-07-18,"N","2287-13513","AHY","F","Tut 2"
"22",2023-07-18,"N","2287-13514","AHY","F","Tut 2"
"23",2023-07-19,"N","2287-13530","AHY","F","North Camp"
"24",2023-07-19,"N","2287-13533","AHY","F","North Camp"
"25",2023-07-19,"N","2287-13543","AHY","F","North Camp"
"26",2023-07-19,"N","2287-13550","AHY","M","North Camp"
"27",2023-07-19,"N","2287-13553","AHY","M","North Camp"
"28",2023-07-19,"N","2287-13554","AHY","M","North Camp"
"29",2023-07-19,"N","2287-13556","AHY","M","North Camp"
"30",2023-07-19,"N","2287-13558","AHY","M","North Camp"
"31",2023-07-19,"N","2287-13559","AHY","F","North Camp"
"32",2023-07-19,"N","2287-13560","AHY","F","North Camp"
"33",2023-07-19,"N","2287-13561","AHY","M","North Camp"
"34",2023-07-19,"N","2287-13562","AHY","M","North Camp"
"35",2023-07-23,"N","2287-13713","AHY","M","Tut 3"
"36",2023-07-23,"N","2287-13719","AHY","M","Tut 3"
"37",2023-07-23,"N","2287-13723","AHY","M","Tut 3"
"38",2023-07-23,"N","2287-13729","AHY","M","Tut 3"
"39",2023-07-23,"N","2287-13731","AHY","M","Tut 3"
"40",2023-07-23,"N","2287-13755","AHY","F","Tut 3"
"41",2023-07-23,"N","2287-13758","AHY","F","Tut 3"
"42",2023-07-24,"N","2287-13849","AHY","F","Old Village"
"43",2023-07-24,"N","2287-13883","AHY","F","Old Village"
"44",2023-07-24,"N","2287-13886","L","M","Old Village"
"45",2023-07-24,"N","2287-13888","AHY","F","Old Village"
"46",2023-07-24,"N","2287-13894","AHY","M","Old Village"
"47",2023-07-24,"N","2287-13895","AHY","F","Old Village"
"48",2023-07-24,"N","2287-13896","AHY","F","Old Village"
"49",2023-07-25,"N","2287-13897","L","F","Onumtuk"
"50",2023-07-25,"N","2287-13898","L","F","Onumtuk"
"51",2023-07-25,"N","2287-13899","L","M","Onumtuk"
"52",2023-07-25,"N","2287-13906","AHY","M","Onumtuk"
"53",2023-07-25,"N","2287-13909","L","F","Onumtuk"
"54",2023-07-25,"N","2287-13914","AHY","F","Onumtuk"
"55",2023-07-25,"N","2287-13916","AHY","F","Onumtuk"
"56",2023-07-25,"N","2287-13919","L","F","Onumtuk"
"57",2023-07-25,"N","2287-13924","AHY","F","Onumtuk"
"58",2023-07-25,"N","2287-13927","L","F","Onumtuk"
"59",2023-07-25,"N","2287-13930","AHY","M","Onumtuk"
"60",2023-07-25,"N","2287-13932","AHY","M","Onumtuk"
"61",2023-07-25,"N","2287-13933","L","F","Onumtuk"
"62",2023-07-25,"N","2287-13935","AHY","M","Onumtuk"
"63",2023-07-23,"Y","2227-21058","AHY","F","Tut 3"
"64",2023-07-23,"Y","2047-27806","AHY","M","Tut 3"
