"","DATE","year","month","day","RECAP","PREFIX","SUFFIX","band number","BANDER","SPECIES","AGE","SEX","DRIVE","Blood","COMMENTS","method"
"1",2023-07-17,2023,7,17,"Y",2047,27812,"2047-27812","JDD","MCGO","AHY","F","Bend Colony","N","PL","helicopter"
"2",2023-07-19,2023,7,19,"Y",2047,27035,"2047-27035","NSL","MCGO","AHY","F","North Camp","N","PL","helicopter"
"3",2023-07-19,2023,7,19,"Y",2047,27988,"2047-27988","NSL","MCGO","AHY","F","North Camp","N","PL","helicopter"
"4",2023-07-19,2023,7,19,"Y",2047,27023,"2047-27023","NSL","MCGO","AHY","F","North Camp","N","PL","helicopter"
"5",2023-07-19,2023,7,19,"Y",2047,27044,"2047-27044","NSL","MCGO","AHY","F","North Camp","N","PL","helicopter"
"6",2023-07-24,2023,7,24,"Y",2047,29373,"2047-29373","JDD","MCGO","AHY","F","Old Village","N","PL","helicopter"
"7",2023-07-24,2023,7,24,"Y",2047,27453,"2047-27453","ALD","MCGO","AHY","F","Old Village","N","PL","helicopter"
"8",2023-07-23,2023,7,23,"Y",2047,21054,"2047-21054","JDD","MCGO","AHY","M","Tut 3","N","CL","helicopter"
"9",2023-07-23,2023,7,23,"Y",2047,26679,"2047-26679","JDD","MCGO","AHY","M","Tut 3","N","CL","helicopter"
"10",2023-07-23,2023,7,23,"Y",2227,21058,"2227-21058","RJF","MCGO","AHY","F","Tut 3","Y","PL","helicopter"
"11",2023-07-23,2023,7,23,"Y",2047,27806,"2047-27806","JDD","MCGO","AHY","M","Tut 3","Y","PL","helicopter"
