"","DATE","RECAP","band number","AGE","SEX","DRIVE","orig_date","BANDED_BY"
"1",2023-07-17,"Y","2047-27812","AHY","F","Bend Colony","2021","YDNWR"
"2",2023-07-19,"Y","2047-27035","AHY","F","North Camp","2021","YDNWR"
"3",2023-07-19,"Y","2047-27988","AHY","F","North Camp","2021","YDNWR"
"4",2023-07-19,"Y","2047-27023","AHY","F","North Camp","2021","YDNWR"
"5",2023-07-19,"Y","2047-27044","AHY","F","North Camp","2021","YDNWR"
"6",2023-07-24,"Y","2047-29373","AHY","F","Old Village","2017","YDNWR"
"7",2023-07-24,"Y","2047-27453","AHY","F","Old Village","2021","YDNWR"
"8",2023-07-23,"Y","2227-21054","AHY","M","Tut 3","2021","YDNWR"
"9",2023-07-23,"Y","2047-26679","AHY","M","Tut 3","2018","YDNWR"
"10",2023-07-23,"Y","2227-21058","AHY","F","Tut 3","2021","YDNWR"
"11",2023-07-23,"Y","2047-27806","AHY","M","Tut 3","2021","YDNWR"
