"","DRIVE","LAT","LONG","DATE","AHY_M","AHY_F","L_M","L_F","TOTAL"
"1","BEND COLONY",61.243074,165.604553,2025-07-15,2,1,6,10,19
"2","CAMP DRIVE",61.248426,165.61654,2025-07-16,4,6,8,6,24
"3","HOCK SLOUGH DRIVE",61.312127,165.642123,2025-07-18,16,7,30,23,76
"4","KASH-TUT",61.252362,165.612231,2025-07-19,9,6,23,23,61
"5","NORTH CAMP",61.24437,165.633586,2025-07-17,14,7,67,63,151
"6","OLD VILLAGE DRIVE",61.321624,165.66367,2025-07-18,10,7,11,14,42
"7","SOUTH CAMP",61.233746,165.639207,2025-07-20,32,25,46,50,153
"8","TUT 2",61.247658,165.571319,2025-07-16,3,5,16,7,31
"9","TUT 3",61.251998,165.565846,2025-07-19,12,13,30,17,72
