BAND_NUMBER,DATE,RECAP,AGE,SEX,DRIVE,year_banded
2287-88108,7/16/2025,Y,AHY,F,TUT 2,2024
2287-88092,7/17/2025,Y,AHY,M,NORTH CAMP,2024
2287-87934,7/18/2025,Y,AHY,M,OLD VILLAGE,2024
2287-87726,7/27/2025,Y,AHY,F,25HELO21,2024
2287-87565,7/19/2025,Y,AHY,F,KASH-TUT,2024
2287-87555,7/19/2025,Y,AHY,M,KASH-TUT,2024
2287-87540,7/19/2025,Y,AHY,F,KASH-TUT,2024
2287-87531,7/19/2025,Y,AHY,F,KASH-TUT,2024
2287-87520,7/25/2025,Y,AHY,M,25HELO04,2024
2287-87514,7/18/2025,Y,AHY,M,OLD VILLAGE,2024
2287-14463,7/19/2025,Y,AHY,F,KASH-TUT,2024
2287-14461,7/16/2025,Y,AHY,F,CAMP DRIVE,2024
2287-14461,7/19/2025,Y,AHY,F,KASH-TUT,2024
2287-14444,7/16/2025,Y,AHY,M,CAMP DRIVE,2024
2287-14426,7/19/2025,Y,AHY,M,KASH-TUT,2024
2287-13785,7/19/2025,Y,AHY,F,KASH-TUT,2023
2287-13758,7/19/2025,Y,AHY,F,KASH-TUT,2023
2287-13609,7/18/2025,Y,AHY,F,HOCK SLOUGH,2023
2287-13594,7/17/2025,Y,AHY,F,NORTH CAMP,2023
2287-13550,7/17/2025,Y,AHY,M,NORTH CAMP,2023
2287-13539,7/17/2025,Y,AHY,F,NORTH CAMP,2023
2287-13512,7/16/2025,Y,AHY,M,TUT 2,2023
2287-13505,7/16/2025,Y,AHY,F,TUT 2,2023
2227-21770,7/18/2025,Y,AHY,M,HOCK SLOUGH,2022
2227-21371,7/19/2025,Y,AHY,M,KASH-TUT,2022
2227-21330,7/17/2025,Y,AHY,F,NORTH CAMP,2022
2227-21267,7/20/2025,Y,AHY,F,SOUTH CAMP,2022
2047-29270,7/19/2025,Y,AHY,F,KASH-TUT,2017
2047-29757,7/20/2025,Y,AHY,F,SOUTH CAMP,2018
2047-29742,7/20/2025,Y,AHY,M,SOUTH CAMP,2018
2047-29390,7/18/2025,Y,AHY,F,HOCK SLOUGH,2017
2047-29281,7/19/2025,Y,AHY,M,KASH-TUT,2017
2047-27988,7/17/2025,Y,AHY,F,NORTH CAMP,2021
2047-27959,7/17/2025,Y,AHY,F,NORTH CAMP,2021
2047-27940,7/16/2025,Y,AHY,F,CAMP DRIVE,2021
2047-27605,7/17/2025,Y,AHY,F,NORTH CAMP,2019
2047-27124,7/20/2025,Y,AHY,F,SOUTH CAMP,2021
2047-27010,7/17/2025,Y,AHY,F,NORTH CAMP,2021
